"node3","cause","cause_value","kappa","necessity","sufficiency","A","B","E","structure","trial_id","pgroup","trialtype","node2","ns_kappa","ns_product","ns_average","ns_necessity_only","ns_sufficiency_only"
"Au=0","Au",0,0.3,0,1,1,0,0,"conjunctive","3_c3",3,"c3","Au",0.3,0,0.5,0,1
"Au=1","Au",1,0,0,0,1,0,0,"conjunctive","3_c3",3,"c3","Au",0,0,0,0,0
"Bu=0","Bu",0,0.5,0,1,1,0,0,"conjunctive","3_c3",3,"c3","Bu",0.5,0,0.5,0,1
"Bu=1","Bu",1,0,0,0,1,0,0,"conjunctive","3_c3",3,"c3","Bu",0,0,0,0,0
"A=0","A",0,0.9,0,1,1,1,0,"conjunctive","3_c4",3,"c4","A",0.9,0,0.5,0,1
"A=1","A",1,0,0,0,1,1,0,"conjunctive","3_c4",3,"c4","A",0,0,0,0,0
"B=0","B",0,0.2,0,1,1,1,0,"conjunctive","3_c4",3,"c4","B",0.2,0,0.5,0,1
"B=1","B",1,0,0,0,1,1,0,"conjunctive","3_c4",3,"c4","B",0,0,0,0,0
"Au=0","Au",0,0.461538461538462,0.230769230769231,1,1,1,0,"conjunctive","3_c4",3,"c4","Au",0.461538461538462,0.230769230769231,0.615384615384615,0.230769230769231,1
"Au=1","Au",1,0.161538461538462,0,0.230769230769231,1,1,0,"conjunctive","3_c4",3,"c4","Au",0.161538461538462,0,0.115384615384615,0,0.230769230769231
"Bu=0","Bu",0,0.769230769230769,0.538461538461538,1,1,1,0,"conjunctive","3_c4",3,"c4","Bu",0.769230769230769,0.538461538461538,0.769230769230769,0.538461538461538,1
