"trial_id","pgroup","trialtype","node3","n","prop","ig","baseline","ns_kappa_full","ns_product_full","ns_average_full","ns_necessity_full","ns_sufficiency_full","ns_kappa_noAct","ns_product_noAct","ns_average_noAct","ns_necessity_noAct","ns_sufficiency_noAct","Actual_ns","A","B","E","Include","Observed","Known"
"1_d4","1","d4","A=0",1,0.015625,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,TRUE,1,0,0,FALSE,TRUE,TRUE
"1_d4","1","d4","A=1",10,0.15625,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,0,0,FALSE,1,0,0,TRUE,TRUE,FALSE
"1_d4","1","d4","Au=0",28,0.4375,0.5,0.125,1,1,1,1,1,1,1,1,1,1,TRUE,1,0,0,TRUE,FALSE,TRUE
"1_d4","1","d4","Au=1",4,0.0625,0.5,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0.5,0,0.5,0,1,FALSE,1,0,0,TRUE,FALSE,FALSE
"1_d4","1","d4","B=0",14,0.21875,0,0.125,0.6,0.5,0.75,0.5,1,0.6,0.5,0.75,0.5,1,TRUE,1,0,0,TRUE,TRUE,TRUE
"1_d4","1","d4","B=1",0,0,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,FALSE,1,0,0,FALSE,TRUE,FALSE
"1_d4","1","d4","Bu=0",3,0.046875,0,0.125,0.5,0,0.5,0,1,0.5,0,0.5,0,1,TRUE,1,0,0,TRUE,FALSE,FALSE
"1_d4","1","d4","Bu=1",4,0.0625,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,0,0,FALSE,1,0,0,TRUE,FALSE,FALSE
"1_d5","1","d5","A=0",0,0,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,FALSE,1,0,1,FALSE,TRUE,FALSE
"1_d5","1","d5","A=1",9,0.147540983606557,0,0.125,1,1,1,1,1,1,1,1,1,1,TRUE,1,0,1,TRUE,TRUE,TRUE
"1_d5","1","d5","Au=0",1,0.0163934426229508,0.5,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0.5,0,0.5,0,1,FALSE,1,0,1,TRUE,FALSE,FALSE
"1_d5","1","d5","Au=1",37,0.60655737704918,0.5,0.125,1,1,1,1,1,1,1,1,1,1,TRUE,1,0,1,TRUE,FALSE,TRUE
"1_d5","1","d5","B=0",6,0.0983606557377049,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,0,0,FALSE,1,0,1,TRUE,TRUE,FALSE
"1_d5","1","d5","B=1",3,0.0491803278688525,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,TRUE,1,0,1,FALSE,TRUE,TRUE
"1_d5","1","d5","Bu=0",2,0.0327868852459016,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,0,0,FALSE,1,0,1,TRUE,FALSE,FALSE
"1_d5","1","d5","Bu=1",3,0.0491803278688525,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,0,0,FALSE,1,0,1,TRUE,FALSE,FALSE
"1_d6","1","d6","A=0",2,0.03125,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,TRUE,1,1,0,FALSE,TRUE,TRUE
"1_d6","1","d6","A=1",4,0.0625,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,0,0,FALSE,1,1,0,TRUE,TRUE,FALSE
"1_d6","1","d6","Au=0",14,0.21875,0.5,0.125,1,1,1,1,1,1,1,1,1,1,TRUE,1,1,0,TRUE,FALSE,TRUE
"1_d6","1","d6","Au=1",1,0.015625,0.5,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0.5,0,0.5,0,1,FALSE,1,1,0,TRUE,FALSE,FALSE
"1_d6","1","d6","B=0",4,0.0625,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,TRUE,1,1,0,FALSE,TRUE,TRUE
"1_d6","1","d6","B=1",6,0.09375,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,0,0,FALSE,1,1,0,TRUE,TRUE,FALSE
"1_d6","1","d6","Bu=0",33,0.515625,0.5,0.125,1,1,1,1,1,1,1,1,1,1,TRUE,1,1,0,TRUE,FALSE,TRUE
"1_d6","1","d6","Bu=1",0,0,0.5,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0.5,0,0.5,0,1,FALSE,1,1,0,TRUE,FALSE,FALSE
"1_d7","1","d7","A=0",2,0.0294117647058824,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,FALSE,1,1,1,FALSE,TRUE,FALSE
"1_d7","1","d7","A=1",10,0.147058823529412,0,0.125,0.366666666666667,0.222222222222222,0.5,0.333333333333333,0.666666666666667,0.366666666666667,0.222222222222222,0.5,0.333333333333333,0.666666666666667,TRUE,1,1,1,TRUE,TRUE,TRUE
"1_d7","1","d7","Au=0",1,0.0147058823529412,-0.028,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0.166666666666667,0,0.166666666666667,0,0.333333333333333,FALSE,1,1,1,TRUE,FALSE,FALSE
"1_d7","1","d7","Au=1",15,0.220588235294118,0.11,0.125,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,1,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,1,TRUE,1,1,1,TRUE,FALSE,FALSE
"1_d7","1","d7","B=0",1,0.0147058823529412,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,FALSE,1,1,1,FALSE,TRUE,FALSE
"1_d7","1","d7","B=1",11,0.161764705882353,0,0.125,0.6,0.222222222222222,0.5,0.333333333333333,0.666666666666667,0.6,0.222222222222222,0.5,0.333333333333333,0.666666666666667,TRUE,1,1,1,TRUE,TRUE,TRUE
"1_d7","1","d7","Bu=0",2,0.0294117647058824,-0.028,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0.166666666666667,0,0.166666666666667,0,0.333333333333333,FALSE,1,1,1,TRUE,FALSE,FALSE
"1_d7","1","d7","Bu=1",26,0.382352941176471,0.11,0.125,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,1,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,1,TRUE,1,1,1,TRUE,FALSE,FALSE
"2_c1","2","c1","A=0",16,0.231884057971014,0,0.125,0.5,0,0.5,0,1,0.5,0,0.5,0,1,TRUE,0,0,0,TRUE,TRUE,TRUE
"2_c1","2","c1","A=1",0,0,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,FALSE,0,0,0,FALSE,TRUE,FALSE
"2_c1","2","c1","Au=0",8,0.115942028985507,0,0.125,0.9,0,0.5,0,1,0.9,0,0.5,0,1,TRUE,0,0,0,TRUE,FALSE,FALSE
"2_c1","2","c1","Au=1",4,0.0579710144927536,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,0,0,FALSE,0,0,0,TRUE,FALSE,FALSE
"2_c1","2","c1","B=0",25,0.36231884057971,0,0.125,0.5,0,0.5,0,1,0.5,0,0.5,0,1,TRUE,0,0,0,TRUE,TRUE,TRUE
"2_c1","2","c1","B=1",0,0,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,FALSE,0,0,0,FALSE,TRUE,FALSE
"2_c1","2","c1","Bu=0",8,0.115942028985507,0,0.125,0.2,0,0.5,0,1,0.2,0,0.5,0,1,TRUE,0,0,0,TRUE,FALSE,FALSE
"2_c1","2","c1","Bu=1",8,0.115942028985507,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,0,0,FALSE,0,0,0,TRUE,FALSE,FALSE
"2_c2","2","c2","A=0",37,0.486842105263158,0,0.125,0.54,0.08,0.54,0.08,1,0.54,0.08,0.54,0.08,1,TRUE,0,1,0,TRUE,TRUE,TRUE
"2_c2","2","c2","A=1",4,0.0526315789473684,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,FALSE,0,1,0,FALSE,TRUE,FALSE
"2_c2","2","c2","Au=0",6,0.0789473684210526,0,0.125,0.9,0,0.5,0,1,0.9,0,0.5,0,1,TRUE,0,1,0,TRUE,FALSE,FALSE
"2_c2","2","c2","Au=1",7,0.0921052631578947,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,0,0,FALSE,0,1,0,TRUE,FALSE,FALSE
"2_c2","2","c2","B=0",0,0,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,TRUE,0,1,0,FALSE,TRUE,TRUE
"2_c2","2","c2","B=1",7,0.0921052631578947,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,0,0,FALSE,0,1,0,TRUE,TRUE,FALSE
"2_c2","2","c2","Bu=0",10,0.131578947368421,0,0.125,0.2,0,0.5,0,1,0.2,0,0.5,0,1,TRUE,0,1,0,TRUE,FALSE,FALSE
"2_c2","2","c2","Bu=1",5,0.0657894736842105,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,0,0,FALSE,0,1,0,TRUE,FALSE,FALSE
"2_c3","2","c3","A=0",1,0.0133333333333333,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,TRUE,1,0,0,FALSE,TRUE,TRUE
"2_c3","2","c3","A=1",7,0.0933333333333333,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,0,0,FALSE,1,0,0,TRUE,TRUE,FALSE
"2_c3","2","c3","Au=0",19,0.253333333333333,0,0.125,0.9,0,0.5,0,1,0.9,0,0.5,0,1,TRUE,1,0,0,TRUE,FALSE,FALSE
"2_c3","2","c3","Au=1",3,0.04,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,0,0,FALSE,1,0,0,TRUE,FALSE,FALSE
"2_c3","2","c3","B=0",33,0.44,0,0.125,0.54,0.08,0.54,0.08,1,0.54,0.08,0.54,0.08,1,TRUE,1,0,0,TRUE,TRUE,TRUE
"2_c3","2","c3","B=1",2,0.0266666666666667,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,FALSE,1,0,0,FALSE,TRUE,FALSE
"2_c3","2","c3","Bu=0",3,0.04,0,0.125,0.2,0,0.5,0,1,0.2,0,0.5,0,1,TRUE,1,0,0,TRUE,FALSE,FALSE
"2_c3","2","c3","Bu=1",7,0.0933333333333333,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,0,0,FALSE,1,0,0,TRUE,FALSE,FALSE
